"site","title","link","title_wordcnt"
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Divided Nation Takes Moment Off To Hate S**tty Pepsi Ad Together","http://www.huffingtonpost.com/entry/pepsi-ad-divided-nation_us_58e50f85e4b0f4a923b44e60?ogfcaey5aq3l680k9&ncid=inblnkushpmg00000009",11
"Breaking News and Opinion on The Huffington Post | The Huffington Post","A Real Protester Gives Mayor A Pepsi. It Didn't End Well.","http://www.huffingtonpost.com/entry/portland-protester-mayor-pepsi_us_58e5671ce4b0fe4ce0880c43?fhn&ncid=inblnkushpmg00000009",11
"The New York Times - Breaking News, World News & Multimedia","Live Chat: What’s in Store for Baseball Fans in 2017?","https://www.nytimes.com/interactive/2017/04/04/insider/events/live-chat-2017-baseball-season.html",10
"The New York Times - Breaking News, World News & Multimedia","Seeking the Truths Locked Inside a Child Soldier","https://www.nytimes.com/2017/04/05/insider/seeking-the-truths-locked-inside-a-child-soldier.html",8
"The New York Times - Breaking News, World News & Multimedia","Live Chat: What’s in Store for Baseball Fans in 2017?","https://www.nytimes.com/interactive/2017/04/04/insider/events/live-chat-2017-baseball-season.html",10
"Breaking News and Opinion on The Huffington Post | The Huffington Post","The Rich Line Up At The White House ATM","http://www.huffingtonpost.com/entry/the-rich-line-up-at-the-white-house-atm_us_58e53eb3e4b0ee31ab953425?v8h&ncid=inblnkushpmg00000009",9
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Nivea Ends 'White Is Purity' Campaign After Widespread Backlash","http://www.huffingtonpost.com/entry/nivea-ends-white-is-purity-campaign-after-widespread-backlash_us_58e51876e4b0917d34762692?byqltzer74d7jeb3xr&ncid=inblnkushpmg00000009",9
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Trump’s Incoherent Syria Policy Is About To Be Tested","http://www.huffingtonpost.com/entry/trumps-incoherent-syria-policy-is-about-to-be-tested_us_58e56c65e4b0ee31ab953479?xya&ncid=inblnkushpmg00000009",9
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Lindsay Lohan Wears A Burkini In Thailand","http://www.huffingtonpost.com/entry/lindsay-lohan-wore-a-burkini-in-thailand_us_58e56129e4b06a4cb30ef01a?ui65xytg6ehppsyvi&ncid=inblnkushpmg00000009",7
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Derek Jeter Reportedly Ready to Make A Life-Changing Move","http://www.huffingtonpost.com/entry/derek-jeter-ready-to-make-a-life-changing-career-move_us_58e55f86e4b0917d3476e6cc?821&ncid=inblnkushpmg00000009",9
